technique,legacy_technique,name,tactic,revoked,data_sources$
T1159,,Launch Agent,,true,$
T1160,,Launch Daemon,,true,$
T1152,,Launchctl,,true,$
T1168,,Local Job Scheduling,,true,$
T1162,,Login Item,,true,$
T1031,,Modify Existing Service,,true,$
T1170,,Mshta,,true,$
T1188,,Multi-hop Proxy,,true,$
T1079,,Multilayer Encryption,,true,$
T1096,,NTFS File Attributes,,true,$
T1128,,Netsh Helper DLL,,true,$
T1126,,Network Share Connection Removal,,true,$
T1050,,New Service,,true,$
T1502,,Parent PID Spoofing,,true,$
T1075,,Pass the Hash,,true,$
T1097,,Pass the Ticket,,true,$
T1174,,Password Filter DLL,,true,$
T1150,,Plist Modification,,true,$
T1013,,Port Monitors,,true,$
T1086,,PowerShell,,true,$
T1504,,PowerShell Profile,,true,$
T1145,,Private Keys,,true,$
T1186,,Process DoppelgM-CM-$nging,,true,$
T1093,,Process Hollowing,,true,$
T1163,,Rc.common,,true,$
T1164,,Re-opened Applications,,true,$
T1060,,Registry Run Keys / Startup Folder,,true,$
T1121,,Regsvcs/Regasm,,true,$
T1117,,Regsvr32,,true,$
T1076,,Remote Desktop Protocol,,true,$
T1536,,Revert Cloud Instance,,true,$
T1085,,Rundll32,,true,$
T1494,,Runtime Data Manipulation,,true,$
T1178,,SID-History Injection,,true,$
T1198,,SIP and Trust Provider Hijacking,,true,$
T1184,,SSH Hijacking,,true,$
T1180,,Screensaver,,true,$
T1063,,Security Software Discovery,,true,$
T1101,,Security Support Provider,,true,$
T1167,,Securityd Memory,,true,$
T1035,,Service Execution,,true,$
T1058,,Service Registry Permissions Weakness,,true,$
T1166,,Setuid and Setgid,,true,$
T1023,,Shortcut Modification,,true,$
T1045,,Software Packing,,true,$
T1151,,Space after Filename,,true,$
T1193,,Spearphishing Attachment,,true,$
T1192,,Spearphishing Link,,true,$
T1194,,Spearphishing via Service,,true,$
T1032,,Standard Cryptographic Protocol,,true,$
T1165,,Startup Items,,true,$
T1492,,Stored Data Manipulation,,true,$
T1169,,Sudo,,true,$
T1206,,Sudo Caching,,true,$
T1019,,System Firmware,,true,$
T1501,,Systemd Service,,true,$
T1209,,Time Providers,,true,$
T1099,,Timestomp,,true,$
T1493,,Transmitted Data Manipulation,,true,$
T1154,,Trap,,true,$
T1065,,Uncommonly Used Port,,true,$
T1506,,Web Session Cookie,,true,$
T1100,,Web Shell,,true,$
T1077,,Windows Admin Shares,,true,$
T1084,,Windows Management Instrumentation Event Subscription,,true,$
T1028,,Windows Remote Management,,true,$
T1004,,Winlogon Helper DLL,,true,$
